UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 15:20 ?        00:00:00 /sbin/init
root           2       0  0 15:20 ?        00:00:00 [kthreadd]
root           3       2  0 15:20 ?        00:00:00 [rcu_gp]
root           4       2  0 15:20 ?        00:00:00 [rcu_par_gp]
root           5       2  0 15:20 ?        00:00:00 [slub_flushwq]
root           6       2  0 15:20 ?        00:00:00 [netns]
root           8       2  0 15:20 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 15:20 ?        00:00:01 [kworker/u16:0-events_unbound]
root          10       2  0 15:20 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 15:20 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 15:20 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 15:20 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 15:20 ?        00:00:00 [rcu_sched]
root          15       2  0 15:20 ?        00:00:00 [migration/0]
root          16       2  0 15:20 ?        00:00:00 [idle_inject/0]
root          17       2  0 15:20 ?        00:00:00 [kworker/0:1-events]
root          18       2  0 15:20 ?        00:00:00 [cpuhp/0]
root          19       2  0 15:20 ?        00:00:00 [cpuhp/1]
root          20       2  0 15:20 ?        00:00:00 [idle_inject/1]
root          21       2  0 15:20 ?        00:00:00 [migration/1]
root          22       2  0 15:20 ?        00:00:00 [ksoftirqd/1]
root          24       2  0 15:20 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 15:20 ?        00:00:00 [cpuhp/2]
root          26       2  0 15:20 ?        00:00:00 [idle_inject/2]
root          27       2  0 15:20 ?        00:00:00 [migration/2]
root          28       2  0 15:20 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 15:20 ?        00:00:00 [kworker/2:0H-events_highpri]
root          31       2  0 15:20 ?        00:00:00 [cpuhp/3]
root          32       2  0 15:20 ?        00:00:00 [idle_inject/3]
root          33       2  0 15:20 ?        00:00:00 [migration/3]
root          34       2  0 15:20 ?        00:00:00 [ksoftirqd/3]
root          36       2  0 15:20 ?        00:00:00 [kworker/3:0H-events_highpri]
root          37       2  0 15:20 ?        00:00:00 [cpuhp/4]
root          38       2  0 15:20 ?        00:00:00 [idle_inject/4]
root          39       2  0 15:20 ?        00:00:00 [migration/4]
root          40       2  0 15:20 ?        00:00:00 [ksoftirqd/4]
root          42       2  0 15:20 ?        00:00:00 [kworker/4:0H-events_highpri]
root          43       2  0 15:20 ?        00:00:00 [cpuhp/5]
root          44       2  0 15:20 ?        00:00:00 [idle_inject/5]
root          45       2  0 15:20 ?        00:00:00 [migration/5]
root          46       2  0 15:20 ?        00:00:00 [ksoftirqd/5]
root          47       2  0 15:20 ?        00:00:00 [kworker/5:0-cgroup_destroy]
root          48       2  0 15:20 ?        00:00:00 [kworker/5:0H-events_highpri]
root          49       2  0 15:20 ?        00:00:00 [cpuhp/6]
root          50       2  0 15:20 ?        00:00:00 [idle_inject/6]
root          51       2  0 15:20 ?        00:00:00 [migration/6]
root          52       2  0 15:20 ?        00:00:00 [ksoftirqd/6]
root          53       2  0 15:20 ?        00:00:01 [kworker/6:0-events]
root          54       2  0 15:20 ?        00:00:00 [kworker/6:0H-events_highpri]
root          55       2  0 15:20 ?        00:00:00 [cpuhp/7]
root          56       2  0 15:20 ?        00:00:00 [idle_inject/7]
root          57       2  0 15:20 ?        00:00:00 [migration/7]
root          58       2  0 15:20 ?        00:00:00 [ksoftirqd/7]
root          60       2  0 15:20 ?        00:00:00 [kworker/7:0H-events_highpri]
root          61       2  0 15:20 ?        00:00:00 [kdevtmpfs]
root          62       2  0 15:20 ?        00:00:00 [inet_frag_wq]
root          63       2  0 15:20 ?        00:00:00 [kworker/4:1-mm_percpu_wq]
root          64       2  0 15:20 ?        00:00:00 [kworker/1:1-mm_percpu_wq]
root          65       2  0 15:20 ?        00:00:00 [kworker/2:1-events]
root          69       2  0 15:20 ?        00:00:00 [kworker/7:1-rcu_gp]
root          70       2  0 15:20 ?        00:00:00 [kauditd]
root          71       2  0 15:20 ?        00:00:00 [khungtaskd]
root          72       2  0 15:20 ?        00:00:00 [oom_reaper]
root          73       2  0 15:20 ?        00:00:00 [writeback]
root          74       2  0 15:20 ?        00:00:00 [kcompactd0]
root          75       2  0 15:20 ?        00:00:00 [ksmd]
root          76       2  0 15:20 ?        00:00:00 [khugepaged]
root         122       2  0 15:20 ?        00:00:00 [kintegrityd]
root         123       2  0 15:20 ?        00:00:00 [kblockd]
root         124       2  0 15:20 ?        00:00:00 [blkcg_punt_bio]
root         125       2  0 15:20 ?        00:00:00 [tpm_dev_wq]
root         126       2  0 15:20 ?        00:00:00 [ata_sff]
root         127       2  0 15:20 ?        00:00:00 [md]
root         128       2  0 15:20 ?        00:00:00 [edac-poller]
